,Unnamed: 0,County,Household 65+,Average Household Size,Median Housing Costs,Income,Percent Overcrowded,Percent Below Poverty Level,Percent Less Than High School Education,Percent Non White,Unemployment Rate 2019,"Peak Covid Death Rates per 100,000","Peak Covid Case Rates per 100,000","Covid Case Rates per 100,000","Covid Death Rates per 100,000",Urban Percent,Rural Percent,State,Unemployment Rate 2020,Labor Force,"Mortality Rate Per 100,000",Population,Projected Deaths From Unemployment,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Covid Death Rate (Delayed After Lockdown)
11,11,Clarke County,0.3465346534653465,2.61,530,52956,0.01628162816281628,23.2,0.13441679363467074,0.4702834880636605,5.5,406.40081280162553,30022.86004572009,11552.789772246211,139.7002794005588,0.2323943661971831,0.7676056338028169,AL,15.0,7422.0,1094.3,472616.0,11.428009015776027,-38.867647058823536,-14.044117647058822,-31.985294117647058,-53.470588235294116,-44.691176470588225,16.11764705882353,9.309883711088917
12,12,Clay County,0.34109272797229706,2.52,451,49976,0.00923432089265102,17.9,0.15847957697907886,0.16832870960485868,2.9,1360.0302228938424,20219.11598035512,9399.319984888552,347.5632791839819,0.0,1.0,AL,9.2,5791.0,1304.7,250712.0,13.290083066227384,-27.426470588235286,-1.1176470588235294,102.76470588235294,-15.897058823529413,-41.897058823529406,16.029411764705884,6.381824563642747
23,23,DeKalb County,0.3069124423963134,2.7,569,49250,0.0293394777265745,21.1,0.168175680477578,0.1456457719814893,2.2,352.3834827234208,26563.00253100835,10588.2846475466,114.66446660047824,0.0908740235944582,0.9091259764055418,AL,11.6,30221.0,1051.7,1237389.0,16.90130921690753,-34.882352941176464,-9.529411764705884,27.661764705882355,-37.77941176470589,-47.264705882352935,18.147058823529417,3.5558745067234314
27,27,Fayette County,0.3600411643634225,2.38,503,51379,0.012055277859453102,19.4,0.1227907551600544,0.14708378804413724,3.2,515.2741994847258,31210.8943687891,10060.115323273218,159.48963317384369,0.1885741377266801,0.8114258622733199,AL,11.0,6359.0,1323.7,316242.0,14.532873343199196,-38.220588235294116,-4.838235294117646,16.455882352941178,-37.29411764705883,-43.86764705882353,16.161764705882348,7.589124784184264
35,35,Jefferson County,0.2826999858362905,2.47,934,70664,0.01424027010576846,16.0,0.06646513977248429,0.481918505942275,4.0,559.3912899557072,33802.17530934308,9238.459517775555,134.6851450029078,0.9100488434613644,0.08995115653863557,AL,12.6,312995.0,1077.8,11848682.0,17.139653053563258,-33.85294117647059,-4.073529411764706,5.294117647058823,-32.72058823529412,-38.308823529411775,14.279411764705882,6.616769696410116
49,49,Montgomery County,0.27171691221642635,2.46,885,63191,0.02019502496453584,19.4,0.08724220164243146,0.6419113337827893,4.0,185.44192577024623,22968.307091829083,8195.650062255503,134.22463198608298,0.8960655640932301,0.1039344359067699,AL,15.1,105760.0,911.8,4068324.0,18.41732348161061,-28.69117647058824,-2.4411764705882355,0.6323529411764706,-2.75,-35.176470588235304,13.838235294117649,11.503508570113885
67,67,Coconino County,0.25419942251354144,2.67,1083,75787,0.06565220140367146,17.6,0.06019946735811185,0.3605829805909084,4.8,418.18840781733536,31564.861022052464,9353.4807215144,168.66932448632525,0.5741697067323637,0.4258302932676363,AZ,17.4,71690.0,515.9,2329635.0,14.00247516113039,-36.970588235294116,-5.279411764705882,5.455882352941177,-23.64705882352941,-41.397058823529406,14.558823529411766,7.554831550865264
72,72,Maricopa County,0.2826545522957343,2.75,1167,76769,0.04533933468032905,13.8,0.08142562122732651,0.22373469845061345,3.2,463.9036664174144,35854.081696806585,8959.150704929356,138.49334754829766,0.9760730174668254,0.023926982533174646,AZ,12.5,2307896.0,693.5,65854171.0,15.821964341119713,-33.132352941176464,-10.779411764705882,-17.514705882352942,-38.661764705882355,-41.01470588235294,14.955882352941178,15.361213794643321
75,75,Pima County,0.339873350480186,2.46,936,66727,0.03622334393275667,16.8,0.07678889366481607,0.23968197257222745,4.0,593.5381116206856,35532.07884431942,8244.698881577879,130.05130438020814,0.9239230770975416,0.07607692290245834,AZ,12.8,497905.0,870.0,16938659.0,15.753150683297894,-34.426470588235304,-9.5,-23.39705882352941,-36.647058823529406,-39.382352941176464,13.838235294117649,9.233316521691592
77,77,Santa Cruz County,0.35892260140036586,2.91,742,46738,0.05140982779284678,23.3,0.14737640936686905,0.1428571428571429,4.0,1109.7251494687944,45911.652114069424,14766.226504365779,275.2806572325692,0.6420877290394226,0.3579122709605775,AZ,15.9,19320.0,578.0,791144.0,11.757755452863199,-43.264705882352935,-25.323529411764717,-19.11764705882353,-12.264705882352946,-37.117647058823536,14.647058823529413,28.819026624735823
