zcta,Percent Over 65,Percent Non White,Household Size,Household 65+,Income,Covid Infection Rate,Covid Death Rate,Overcrowding,Eviction Rates,Population,Unemployment Rate 2019,Percent Commuting,Percent Worked From Home,Occupation: Management,Occupation: Service,Occupation: Sales,Occupation: Construction,Occupation: Transportation,Health Insurance Coverage,Percent Below Poverty,County,Unemployment 2020 (Projected)
10280,6.7,0.304,1.94,10.2,247627.0,686.16,0.0,0.04983130028549184,0.0013069924093902375,9496,2.2,50.0,6.0,76.9,4.2,17.1,0.7,1.1,0.972,3.2,New York,5.246153846153847
10282,6.4,0.215,2.16,12.3,250000.0,1577.39,253.83,0.03685897435897436,0.0005271133952691572,5783,2.1,45.1,6.5,74.3,6.6,19.1,0.0,0.0,0.983,2.1,New York,5.0076923076923086
10301,11.9,0.456,2.51,23.3,82267.0,3453.36,270.11,0.038064921090387366,0.007307699589178545,38280,2.5,41.2,3.8,43.8,22.2,19.6,7.9,6.4,0.926,16.1,Staten Island,5.5681818181818175
10302,9.3,0.509,3.16,23.4,93750.0,3771.18,170.45,0.0319634703196347,0.00600153422679482,18037,2.7,29.3,3.6,33.2,21.2,19.8,12.0,13.9,0.897,12.0,Staten Island,6.013636363636364
10303,6.9,0.6609999999999999,3.19,17.9,74187.0,3674.95,179.17,0.06508309405725224,0.008229218723971345,27401,2.5,34.4,1.5,29.9,31.3,19.3,9.1,10.4,0.939,22.0,Staten Island,5.5681818181818175
10304,12.2,0.522,2.84,24.8,73135.0,3736.27,428.75,0.0410151824155903,0.008246186138910755,41112,3.5,40.2,3.0,37.8,24.5,21.5,7.7,8.4,0.941,19.3,Staten Island,7.795454545454545
10305,13.0,0.238,2.71,27.3,95406.0,3359.88,190.32,0.046885431109741686,0.004142636666395906,42726,3.3,37.3,2.4,41.2,20.9,20.2,9.6,8.2,0.955,8.8,Staten Island,7.349999999999999
10306,15.6,0.121,2.66,30.6,96131.0,3086.49,154.6,0.01900328169121575,0.004519028775221066,53877,2.6,28.9,2.7,39.9,19.2,23.5,8.0,9.4,0.962,8.0,Staten Island,5.790909090909091
10307,9.7,0.066,2.86,21.4,113839.0,2852.53,98.59,0.022532188841201718,0.006063111478572413,14906,2.0,18.2,1.8,46.7,12.0,23.5,10.5,7.4,0.966,4.2,Staten Island,4.454545454545454
10308,14.9,0.064,2.69,29.4,113498.0,2534.14,94.48,0.01647909967845659,0.003822451049223808,29512,3.3,27.5,2.4,44.2,14.8,22.6,9.0,9.4,0.978,2.6,Staten Island,7.349999999999999
10309,10.5,0.08900000000000001,2.87,22.9,126350.0,2926.83,96.96,0.004535321700361288,0.008043947420051009,34058,1.6,23.7,2.6,43.9,14.8,23.3,11.2,6.9,0.981,5.0,Staten Island,3.5636363636363635
10310,9.6,0.459,2.98,22.6,90379.0,3397.43,142.43,0.03180270696670265,0.006010628550485614,23800,2.4,30.6,2.4,41.1,22.0,19.3,8.6,9.0,0.936,13.9,Staten Island,5.345454545454545
10312,13.1,0.092,2.82,27.6,113327.0,2916.87,97.84,0.02412584562719048,0.004413331304215493,61392,2.7,22.2,2.9,45.8,16.1,21.9,7.9,8.4,0.979,4.7,Staten Island,6.013636363636364
10314,14.8,0.241,2.74,28.8,107154.0,3342.35,223.48,0.03932554988012092,0.003597385048026004,89792,2.6,26.3,2.5,42.3,17.6,22.0,9.1,9.0,0.965,7.1,Staten Island,5.790909090909091
11354,18.0,0.72,2.64,31.8,47405.0,2691.0,542.16,0.05512223695162932,0.003664749557793947,53684,2.3,42.9,1.6,28.5,32.8,24.1,5.8,8.7,0.82,16.7,Queens,7.21081081081081
11355,13.5,0.835,2.96,29.6,45619.0,2030.9,212.46,0.10160393770950904,0.0020460516148972326,80987,1.8,44.3,1.6,26.4,31.6,20.5,8.1,13.4,0.809,19.3,Queens,5.643243243243243
11356,10.8,0.491,3.02,25.0,66463.0,2855.58,180.08,0.04433539944903581,0.003503704298055577,23494,2.0,31.6,1.9,25.6,24.4,26.4,10.3,13.3,0.892,7.6,Queens,6.27027027027027
11357,21.2,0.238,2.56,38.4,98213.0,2356.44,267.66,0.01810786717182973,0.002808673182788452,39407,3.3,25.8,2.5,40.8,15.0,28.1,6.9,9.1,0.948,4.4,Queens,10.345945945945946
11358,14.8,0.498,2.8,30.3,78357.0,1856.98,120.99,0.031316461080391315,0.002312476145573741,36515,2.6,39.2,2.5,39.5,21.2,22.6,7.7,9.0,0.894,8.4,Queens,8.151351351351352
11360,26.5,0.29,2.15,42.3,107188.0,1913.78,148.44,0.017008366277466214,0.0038860971524288094,18954,2.4,27.4,3.2,52.4,11.2,24.7,5.3,6.5,0.956,5.9,Queens,7.524324324324324
