county_id,county_name,state,percent_rural_population,county_rurality
01001,Autauga,Alabama,42.0,mostly urban
01003,Baldwin,Alabama,42.28,mostly urban
01005,Barbour,Alabama,67.79,mostly rural
01007,Bibb,Alabama,68.35,mostly rural
01009,Blount,Alabama,89.95,mostly rural
01011,Bullock,Alabama,51.37,mostly rural
01013,Butler,Alabama,71.23,mostly rural
01015,Calhoun,Alabama,33.7,mostly urban
01017,Chambers,Alabama,49.15,mostly urban
01019,Cherokee,Alabama,85.74,mostly rural
01021,Chilton,Alabama,86.74,mostly rural
01023,Choctaw,Alabama,100.0,completely rural
01025,Clarke,Alabama,75.98,mostly rural
01027,Clay,Alabama,100.0,completely rural
01029,Cleburne,Alabama,100.0,completely rural
01031,Coffee,Alabama,47.2,mostly urban
01033,Colbert,Alabama,43.89,mostly urban
01035,Conecuh,Alabama,80.95,mostly rural
01037,Coosa,Alabama,100.0,completely rural
01039,Covington,Alabama,69.65,mostly rural
01041,Crenshaw,Alabama,100.0,completely rural
01043,Cullman,Alabama,73.24,mostly rural
01045,Dale,Alabama,50.89,mostly rural
01047,Dallas,Alabama,45.64,mostly urban
01049,DeKalb,Alabama,90.13,mostly rural
01051,Elmore,Alabama,54.19,mostly rural
01053,Escambia,Alabama,63.51,mostly rural
01055,Etowah,Alabama,37.48,mostly urban
01057,Fayette,Alabama,80.23,mostly rural
01059,Franklin,Alabama,70.37,mostly rural
01061,Geneva,Alabama,89.64,mostly rural
01063,Greene,Alabama,100.0,completely rural
01065,Hale,Alabama,89.17,mostly rural
01067,Henry,Alabama,87.75,mostly rural
01069,Houston,Alabama,33.8,mostly urban
01071,Jackson,Alabama,77.02,mostly rural
01073,Jefferson,Alabama,9.83,mostly urban
01075,Lamar,Alabama,100.0,completely rural
01077,Lauderdale,Alabama,49.3,mostly urban
01079,Lawrence,Alabama,91.29,mostly rural
01081,Lee,Alabama,27.41,mostly urban
01083,Limestone,Alabama,57.61,mostly rural
01085,Lowndes,Alabama,100.0,completely rural
01087,Macon,Alabama,55.55,mostly rural
01089,Madison,Alabama,16.44,mostly urban
01091,Marengo,Alabama,69.32,mostly rural
01093,Marion,Alabama,88.85,mostly rural
01095,Marshall,Alabama,53.27,mostly rural
01097,Mobile,Alabama,20.02,mostly urban
01099,Monroe,Alabama,79.04,mostly rural
01101,Montgomery,Alabama,10.49,mostly urban
01103,Morgan,Alabama,38.6,mostly urban
01105,Perry,Alabama,100.0,completely rural
01107,Pickens,Alabama,100.0,completely rural
01109,Pike,Alabama,51.68,mostly rural
01111,Randolph,Alabama,81.34,mostly rural
01113,Russell,Alabama,35.41,mostly urban
01115,St. Clair,Alabama,72.8,mostly rural
01117,Shelby,Alabama,22.94,mostly urban
01119,Sumter,Alabama,100.0,completely rural
01121,Talladega,Alabama,55.82,mostly rural
01123,Tallapoosa,Alabama,74.23,mostly rural
01125,Tuscaloosa,Alabama,25.51,mostly urban
01127,Walker,Alabama,74.09,mostly rural
01129,Washington,Alabama,100.0,completely rural
01131,Wilcox,Alabama,100.0,completely rural
01133,Winston,Alabama,84.89,mostly rural
02013,Aleutians East,Alaska,100.0,completely rural
02016,Aleutians West,Alaska,100.0,completely rural
02020,Anchorage,Alaska,4.12,mostly urban
02050,Bethel,Alaska,73.94,mostly rural
02060,Bristol Bay,Alaska,100.0,completely rural
02068,Denali,Alaska,100.0,completely rural
02070,Dillingham,Alaska,100.0,completely rural
02090,Fairbanks North Star,Alaska,30.87,mostly urban
02100,Haines,Alaska,100.0,completely rural
02105,Hoonah-Angoon,Alaska,100.0,completely rural
02110,Juneau,Alaska,21.54,mostly urban
02122,Kenai Peninsula,Alaska,79.34,mostly rural
02130,Ketchikan Gateway,Alaska,23.19,mostly urban
02150,Kodiak Island,Alaska,31.32,mostly urban
02164,Lake and Peninsula,Alaska,100.0,completely rural
02170,Matanuska-Susitna,Alaska,50.29,mostly rural
02180,Nome,Alaska,66.06,mostly rural
02185,North Slope,Alaska,59.33,mostly rural
